Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
614a178ce1314bae72eca59dd50359cd544cbd350258e753171e2fd62e823b15,2020-04,Gwent Police,Gwent Police,-3.050104,51.660989,On or near CAM COURT,W01001536,Torfaen 009C,Investigation complete; no suspect identified
5d02202ae0e9ee50cfbad172df89168c8569ce99aad24ae0e1fc25901e4df593,2020-04,Gwent Police,Gwent Police,-3.214357,51.579774,On or near Supermarket,W01001373,Caerphilly 022C,Investigation complete; no suspect identified
10083301a82022939c40aaa6193144c1cabdc3322b4fc4a07b5c9a8e7fe71205,2020-04,Gwent Police,Gwent Police,-3.284491,51.722679,On or near Parking Area,W01001360,Caerphilly 002A,Investigation complete; no suspect identified
71e0de808c1ac60b723877a4f965249664b98830f01e755fbed688c59d2ded56,2020-04,Gwent Police,Gwent Police,-3.245827,51.670764,On or near DUFFRYN CLOSE,W01001416,Caerphilly 008C,Investigation complete; no suspect identified
6132551858498c0aae1d607b706055c92d71abfe2af167991e11d88ee6ea0f7c,2020-04,Gwent Police,Gwent Police,-2.675696,51.641442,On or near HIGH STREET,W01001587,Monmouthshire 008C,Investigation complete; no suspect identified
17cc57c61d3488b06d8f725263cbb73f623fb10ac9338f4019b34a4ed7ab2708,2020-04,Gwent Police,Gwent Police,-3.157838,51.663626,On or near WOODSIDE DRIVE,W01001380,Caerphilly 010A,Investigation complete; no suspect identified
5ec5bc217f280f5b6508f883c30b8bd711e19982a784dc1d1064fb0a59ff215e,2020-04,Gwent Police,Gwent Police,-3.235332,51.785581,On or near BRYN PICA,W01001473,Blaenau Gwent 003B,Investigation complete; no suspect identified
4a77072799faa7ccf727d7870520737b31e770160d53db839b9727fafa59e4a9,2020-04,Gwent Police,Gwent Police,-2.979425,51.590773,On or near FAIROAK TERRACE,W01001692,Newport 011E,Investigation complete; no suspect identified
efc742e5d50632ebba09cfd58c5f20181b96487304b8f6b26a1e7236fbee9ca8,2020-04,Gwent Police,Gwent Police,-3.024451,51.585083,On or near ENVILLE ROAD,W01001602,Newport 012B,Investigation complete; no suspect identified
44df56a03c6ca14f248c871648131619cfdf5369533d3131b75575297f895aed,2020-04,Gwent Police,Gwent Police,-2.990649,51.579214,On or near FRANCIS DRIVE,W01001662,Newport 018D,Investigation complete; no suspect identified
90fe0e1dd5c0eeb427f435ad1aabebefbd19b26396c08d721639795e2730ff3f,2020-04,Gwent Police,Gwent Police,-3.214473,51.797056,On or near CHURCH CRESCENT,W01001442,Blaenau Gwent 001C,Investigation complete; no suspect identified
008c407539d8d195ea9f2149e189052f20e2c188b45d99cda17512fdeab57937,2020-04,Gwent Police,Gwent Police,-2.968553,51.580496,On or near MAGOR STREET,W01001642,Newport 013A,Investigation complete; no suspect identified
20a6add194659536c19a459d25485596b80d7d4ee4b50b73a17b57c54a41537b,2020-04,Gwent Police,Gwent Police,-3.169230,51.659062,On or near MAES GWYN,W01001380,Caerphilly 010A,Investigation complete; no suspect identified
b8cfdb977f0cb1222f4b6c67dd7ff65420457155186ab43bbd6ceab240541fc3,2020-04,Gwent Police,Gwent Police,-3.245422,51.718685,On or near PLEASANT VIEW,W01001384,Caerphilly 002C,Investigation complete; no suspect identified
ea411a4bbc05cde3209e947e8b59f3f0e2c208e7fe400eb3b250baeca20a01b7,2020-04,Gwent Police,Gwent Police,-2.976051,51.584920,On or near WALSALL STREET,W01001644,Newport 013C,Investigation complete; no suspect identified
8964fa2b44c0f365c01c9f087ec944c4a6a7343e8211ba9d4ac58c7153896fa6,2020-04,Gwent Police,Gwent Police,-3.253190,51.767148,On or near BRANGWYN ROAD,W01001479,Blaenau Gwent 006D,Investigation complete; no suspect identified
a00f3977af8e6327001ab67cdf6dd8fc94c9f4ea98d5835646acbb1b71550ff1,2020-04,Gwent Police,Gwent Police,-3.044035,51.641630,On or near REDE ROAD,W01001498,Torfaen 011B,Investigation complete; no suspect identified
fe596ea871777733b61f86473457aa1397a6fb55055729085eaf35b79f430c8a,2020-04,Gwent Police,Gwent Police,-3.059977,51.712322,On or near PENTREPIOD ROAD,W01001529,Torfaen 003B,Investigation complete; no suspect identified
d3340b9c6ebac4cec1653d1de0ef8eef1872399d831bbd89dcc6e4d912b542ee,2020-04,Gwent Police,Gwent Police,-3.135247,51.733298,On or near ALMA STREET,W01001455,Blaenau Gwent 008F,Investigation complete; no suspect identified
2ccd82944b30fad6ac81fd7d1df8eb4d1cc7addd063e442a5e263351a9e3dcc6,2020-04,Gwent Police,Gwent Police,-3.207292,51.776836,On or near Parking Area,W01001460,Blaenau Gwent 007E,Investigation complete; no suspect identified
eec3132bbd8e2a665c5cbe236d98aa0d0306c9523de9b3680b68c1518292964a,2020-04,Gwent Police,Gwent Police,-3.004756,51.601753,On or near MALPAS ROAD,W01001682,Newport 006C,Investigation complete; no suspect identified
fc24a7cdca445c6e4550ee17505a42356b4882f6bc05e6331c36452210a3edf2,2020-04,Gwent Police,Gwent Police,-3.229332,51.689101,On or near Police Station,W01001338,Caerphilly 004C,Investigation complete; no suspect identified
c2f1e2014bf6a2b601ca01e2cdd88ad66af1720cd5fc2ed125623a41e9f0b4d5,2020-04,Gwent Police,Gwent Police,-3.156692,51.750271,On or near BLAINA ROAD,W01001445,Blaenau Gwent 005C,Investigation complete; no suspect identified
e17f76c61748603e8a0981fcd3ec77172892eb44a139bff6a5ae37599c925f71,2020-04,Gwent Police,Gwent Police,-3.241722,51.652330,On or near RHONDA CREYR,W01001432,Caerphilly 013D,Investigation complete; no suspect identified
0311b5aefe9a3fe1e00973fa10b06a7841834f457ea5773b0fc49d6ed38a0735,2020-04,Gwent Police,Gwent Police,-3.246889,51.765677,On or near CEFN PARC,W01001478,Blaenau Gwent 006C,Investigation complete; no suspect identified
649a94c26106f611ee9cc92a3f91899d500c8d2b065496949c18b2f5f54efe91,2020-04,Gwent Police,Gwent Police,-3.246889,51.765677,On or near CEFN PARC,W01001478,Blaenau Gwent 006C,Investigation complete; no suspect identified
ab3c0c27caf5694e354d3fce23d23adeade26db0ba36b38b7343bc1bc2185a6b,2020-04,Gwent Police,Gwent Police,-3.166001,51.592952,On or near DICKENS COURT,W01001345,Caerphilly 021C,Investigation complete; no suspect identified
b6a495e111ad9b217d0e1a3447a7d9110c2a7240631887f09b5701195cfd3de9,2020-04,Gwent Police,Gwent Police,-3.162049,51.687475,On or near FERN CLOSE,W01001357,Caerphilly 006B,Investigation complete; no suspect identified
8dd634133228be45a1542ef4fdb628e823d41a49c4cc7d636be626408fb6feb9,2020-04,Gwent Police,Gwent Police,-3.273471,51.753505,On or near CWRT BENJAMIN,W01001376,Caerphilly 001C,Investigation complete; no suspect identified
b1a8e639fd5fed817bfb945b90d2bf8152f8b15bc088c90930f76625db8f9ea8,2020-04,Gwent Police,Gwent Police,-2.962660,51.588466,On or near CAREY ROAD,W01001608,Newport 008B,Investigation complete; no suspect identified
b2fd49e995a2c96285db3fe10befd2acc526405e5cb9be93f0d02f3d1c743bc3,2020-04,Gwent Police,Gwent Police,-3.133573,51.734123,On or near TILLERY STREET,W01001437,Blaenau Gwent 008C,Investigation complete; no suspect identified
57ef5f170a769a30a1b0a86cad2fe13e1352101ad8a9584ede235017132b905d,2020-04,Gwent Police,Gwent Police,-3.022720,51.553645,On or near WHITE AVENUE,W01001912,Newport 020E,Investigation complete; no suspect identified
3c70e7669f3a6a0feb1e316aabddc5e8f35aebe4fdb661a920a56b5acb9a3c9e,2020-04,Gwent Police,Gwent Police,-2.996712,51.585880,On or near Nightclub,W01001687,Newport 014D,Investigation complete; no suspect identified
ef7e4106cab6a00db0b4a6c9d1006006cb4e8c500d03ee68d9ac5bbba6b85bc2,2020-04,Gwent Police,Gwent Police,-3.267121,51.595347,On or near THOMAS STREET,W01001330,Caerphilly 018A,Investigation complete; no suspect identified
7d4748e720d858f3f24985e55d2c9dfb5acb4c58bf8149cb66c824ddd9e3fcb2,2020-04,Gwent Police,Gwent Police,-3.000122,51.645807,On or near CAERLEON ROAD,W01001508,Torfaen 013C,Investigation complete; no suspect identified
