Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2c1fd7e2992c99cdbd52db54e8cc6622114f7842f02f081bf2bb7837ff95e98d,2021-06,Humberside Police,Humberside Police,-0.545273,53.566912,On or near FAIRFIELD CLOSE,E01013276,North Lincolnshire 013C,Investigation complete; no suspect identified
17fdb14551a6815b14c5e6c88300bd36ac75f329a4aa3592fb36d0880f8ab868,2021-06,Humberside Police,Humberside Police,-0.374854,53.744188,On or near LONSDALE STREET,E01012862,Kingston upon Hull 025E,Investigation complete; no suspect identified
fb73b286a1d3a4fe1267165f0498805ec4b6ef0d996188260c3097bbe7b4a8c9,2021-06,Humberside Police,Humberside Police,-0.360093,53.752932,On or near Petrol Station,E01012757,Kingston upon Hull 025B,Investigation complete; no suspect identified
10957e73a905144a47bffc965bf586ad92960d3349265df92dd41837c3f0d0d8,2021-06,Humberside Police,Humberside Police,-0.417757,53.779217,On or near CEDAR AVENUE,E01012963,East Riding of Yorkshire 025C,Investigation complete; no suspect identified
f9d4469d902099e9f0de76e489df5788e10ac415659022539d36b80ee8fc622d,2021-06,Humberside Police,Humberside Police,-0.082357,53.566229,On or near DIAL SQUARE,E01013221,North East Lincolnshire 003D,Investigation complete; no suspect identified
3c185862755ec4c2080013de5ab400a410438ab95878d54e64dc2aa2b6ea001c,2021-06,Humberside Police,Humberside Police,-0.360093,53.752932,On or near Petrol Station,E01012757,Kingston upon Hull 025B,Investigation complete; no suspect identified
1d3f6bf8f4602276400f19a138792b31433c74bf7ada1cadee0077bdd76d70b5,2021-06,Humberside Police,Humberside Police,-0.467069,53.879850,On or near Parking Area,E01012927,East Riding of Yorkshire 013D,Investigation complete; no suspect identified
b5275322cf953be423023743661640cbec8122fde784689dced64be83430d052,2021-06,Humberside Police,Humberside Police,-0.871784,53.712467,On or near WESTFIELD SQUARE,E01012995,East Riding of Yorkshire 041B,Investigation complete; no suspect identified
43a577b0d97179bd38dbdd0c501d96b5be70182de31536819f29fc6a2c37dc94,2021-06,Humberside Police,Humberside Police,-0.085041,53.570677,On or near Petrol Station,E01013221,North East Lincolnshire 003D,Investigation complete; no suspect identified
a6143743e4c1ad72c74ec2717fed78e71444f62aaa52e66ec32e142fd13a59e3,2021-06,Humberside Police,Humberside Police,-0.733022,53.578225,On or near STATION ROAD,E01013287,North Lincolnshire 005B,Investigation complete; no suspect identified
a23aa7fc7226e4d4fc1b96f8139e88f074ff537b0f7b19b5db1aa6450c92ff7c,2021-06,Humberside Police,Humberside Police,-0.325035,53.790803,On or near CONSTANTINE CLOSE,E01012788,Kingston upon Hull 002E,Investigation complete; no suspect identified
7ecdfbc645e4c1faff375ca9aea537a618b9d18b5edf439b436f1f5f14053c8f,2021-06,Humberside Police,Humberside Police,0.032633,53.726202,On or near KIRKFIELD ROAD,E01013084,East Riding of Yorkshire 039D,Investigation complete; no suspect identified
ea289ed06bf6b236e816cce92ced673142b86ac4be771625bd0a632279d10756,2021-06,Humberside Police,Humberside Police,-0.414904,53.782020,On or near HALLGATE,E01012957,East Riding of Yorkshire 025A,Investigation complete; no suspect identified
92ca1078e85cb0c78ddabeba507f042147b1e4ffc93136e8c84a5818f11e4433,2021-06,Humberside Police,Humberside Police,-0.659963,53.592109,On or near Supermarket,E01013298,North Lincolnshire 008B,Investigation complete; no suspect identified
4e8757aa9c792cf4149e51e199b1a850d77c2887ff358e1f7453ac0616b8868a,2021-06,Humberside Police,Humberside Police,-0.414904,53.782020,On or near HALLGATE,E01012957,East Riding of Yorkshire 025A,Investigation complete; no suspect identified
adfb31ce302d3e7ac5f9b9471a7c52e03fba3da863197d9dd041ee909395b019,2021-06,Humberside Police,Humberside Police,-0.390710,53.743566,On or near HAMLYN DRIVE,E01012772,Kingston upon Hull 028C,Investigation complete; no suspect identified
d6a784efb49d1e9500a3994550f726c2b0d859a8a055373d0cfacad35d2dd722,2021-06,Humberside Police,Humberside Police,-0.318309,53.786287,On or near Pedestrian Subway,E01012790,Kingston upon Hull 004D,Investigation complete; no suspect identified
d2e416b7129b6790a2b0f0169fe3f1722c4d253bb19c79e79abac18fb5bbd69a,2021-06,Humberside Police,Humberside Police,-0.432160,53.723800,On or near EASTGATE,E01013008,East Riding of Yorkshire 034A,Investigation complete; no suspect identified
cfbb6ec5f6a6d013517e31aa8ab5467d688290e8237e0ab29088158b2cfc44df,2021-06,Humberside Police,Humberside Police,-0.353936,53.749791,On or near Supermarket,E01012850,Kingston upon Hull 024A,Investigation complete; no suspect identified
2602c359f9a4ff39eabe49b32f21bffbaa98c93014c219796b4c9d2833efa75d,2021-06,Humberside Police,Humberside Police,-0.390552,53.730620,On or near HUNTINGDON STREET,E01012888,Kingston upon Hull 031E,Investigation complete; no suspect identified
7736cb7143ffd97f58ec7e605c3a6d0fca7643d1ae7e1b01c9bad1070d96d155,2021-06,Humberside Police,Humberside Police,-0.644783,53.580620,On or near CEMETERY ROAD,E01013313,North Lincolnshire 010C,Investigation complete; no suspect identified
f4e22506632c2ea474f4884c9b1d515fc805a3d73e0a7e4581e4acda2393372e,2021-06,Humberside Police,Humberside Police,-0.390189,53.762356,On or near HARTOFT ROAD,E01012795,Kingston upon Hull 019B,Investigation complete; no suspect identified
a9c410dbd1b9f4c03e2d60b2c4bd87570248d355991529454c2e3f7f297d2abd,2021-06,Humberside Police,Humberside Police,-0.094726,53.511778,On or near ELM ROAD,E01013215,North East Lincolnshire 023C,Investigation complete; no suspect identified
3f4e712f67524386a7459afd5b11baf3080da9986b63b6992e5ed9eb4eb7bbc4,2021-06,Humberside Police,Humberside Police,-0.364756,53.769535,On or near FERENS AVENUE,E01012914,Kingston upon Hull 012C,Investigation complete; no suspect identified
62fa3643944d73c223d4b140449f1fbfd72f82e06229ebd846dff4756f807a3f,2021-06,Humberside Police,Humberside Police,-0.389454,53.753806,On or near BERMONDSEY DRIVE,E01012773,Kingston upon Hull 027A,Investigation complete; no suspect identified
37259565cb736f15ae1369175ad642135b4344063c7d7a1e176762dc74269b95,2021-06,Humberside Police,Humberside Police,-0.644883,53.590707,On or near Shopping Area,E01013330,North Lincolnshire 008D,Investigation complete; no suspect identified
1a305a3b7cc054f7c9e3b28913660d508bda9e4fa0f19a1f83a00b3f822efbbc,2021-06,Humberside Police,Humberside Police,-0.273571,53.774909,On or near HARLESTON CLOSE,E01012834,Kingston upon Hull 010C,Investigation complete; no suspect identified
ae9bbd406ec03869fa321440a38dc8d5dc228177a2894087284f690a74ca96fd,2021-06,Humberside Police,Humberside Police,-0.887881,53.703665,On or near Shopping Area,E01013001,East Riding of Yorkshire 040D,Investigation complete; no suspect identified
5bd762fb02b8d63353396e7532f880519fbb1d115616c9b53aa812bfabf209d9,2021-06,Humberside Police,Humberside Police,-0.042653,53.539812,On or near BUCK BECK WAY,E01013156,North East Lincolnshire 018D,Investigation complete; no suspect identified
17f7d546a8fef9076b8cc0075d0765b9a0f993eafda4058019e901a6d23b43c0,2021-06,Humberside Police,Humberside Police,-0.042653,53.539812,On or near BUCK BECK WAY,E01013156,North East Lincolnshire 018D,Investigation complete; no suspect identified
da50ed41a771659bd94a8ad85bde584c1ee47d23dc936502a89b2535fe0c0382,2021-06,Humberside Police,Humberside Police,-0.667702,53.562693,On or near WRAWBY ROAD,E01013284,North Lincolnshire 017D,Investigation complete; no suspect identified
14b1f3e23c4874c2ffcf66628f2ee1eac75eb35e227750641d949f371df2fedc,2021-06,Humberside Police,Humberside Police,-0.645140,53.568516,On or near ACACIA COURT,E01013315,North Lincolnshire 014A,Investigation complete; no suspect identified
adc6dd7fdf3edde89518a6696cd4fcb5fdb78a8cb62ba0473eb9e8c64ade1eee,2021-06,Humberside Police,Humberside Police,-0.334637,53.741155,On or near VICAR LANE,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
fd9ff0717b9360c82164bfb0e48af5d0f5e6ebde994b8d8ab00cdf14c1185281,2021-06,Humberside Police,Humberside Police,-0.085719,53.565025,On or near EAST ST MARY'S GATE,E01013221,North East Lincolnshire 003D,Investigation complete; no suspect identified
c0a8868829133c93addada815f33fdcdad63a6614acc4b24a374e2d5fad6e3e4,2021-06,Humberside Police,Humberside Police,-0.393512,53.750004,On or near SPRING BANK WEST,E01012776,Kingston upon Hull 027B,Investigation complete; no suspect identified
d1d5edcdc46451b4dc14f0cd2556a16a161c9268613833c4d487ded94c7727c8,2021-06,Humberside Police,Humberside Police,-0.827640,53.529356,On or near WINDMILL VIEW,E01013243,North Lincolnshire 020C,Investigation complete; no suspect identified
414f8748bd83317bc1aa6557a35b5a81374b91a565697caada12e9de42e61610,2021-06,Humberside Police,Humberside Police,-0.404720,53.745201,On or near LEGARDE AVENUE,E01012777,Kingston upon Hull 028E,Investigation complete; no suspect identified
4b4c5387dca79806e31fa55b4ae8bd390b7cab448967d11f3535284d60655b7f,2021-06,Humberside Police,Humberside Police,-0.404720,53.745201,On or near LEGARDE AVENUE,E01012777,Kingston upon Hull 028E,Investigation complete; no suspect identified
d1baa5341ae9627a47a1cb65a3f1085f79ca6cb1a839f844b0b53f8def52c27b,2021-06,Humberside Police,Humberside Police,-1.030449,53.690261,On or near Petrol Station,E01013077,East Riding of Yorkshire 042D,Investigation complete; no suspect identified
c5c1e7ffc0262cdc7db2ea71c4e59ef994ca7e532714cbcf61d2c03516a4c46b,2021-06,Humberside Police,Humberside Police,-0.078839,53.557570,On or near KETTLEWELL STREET,E01013181,North East Lincolnshire 016A,Investigation complete; no suspect identified
ab44409665cf1ea7117a71094af85a07e486f3c37574e7b15db25273da7d0a97,2021-06,Humberside Police,Humberside Police,-0.385874,53.731663,On or near DEVON STREET,E01012888,Kingston upon Hull 031E,Investigation complete; no suspect identified
33046f2e8742d6ba6a559b08dca7c4d26199c8752f794eafd6e3a4b6b0880975,2021-06,Humberside Police,Humberside Police,-0.355671,53.769060,On or near BLAYDES STREET,E01012914,Kingston upon Hull 012C,Investigation complete; no suspect identified
