Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2021-11-11T23:11:00+00:00,,,54.282259,-0.396652,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2021-11-11T23:11:00+00:00,,,54.282259,-0.396652,Male,10-17,Other ethnic group - Not stated,White,,Offensive weapons,,False,
Person search,2021-11-11T23:11:00+00:00,,,54.282259,-0.396652,Female,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2021-11-12T16:11:00+00:00,,,53.955342,-1.080438,Male,25-34,,,,,,,
Person and Vehicle search,2021-11-13T00:11:00+00:00,,,53.957341,-1.084478,Male,18-24,Other ethnic group - Not stated,Asian,,,,,
Person and Vehicle search,2021-11-13T02:11:00+00:00,,,53.957341,-1.084478,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2021-11-13T02:11:00+00:00,,,53.957341,-1.084478,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person search,2021-11-13T10:11:00+00:00,,,53.955342,-1.080438,,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2021-11-13T10:11:00+00:00,,,53.958707,-1.079769,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2021-11-14T00:11:00+00:00,,,53.957889,-1.125463,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,
Person and Vehicle search,2021-11-14T00:11:00+00:00,,,53.957889,-1.125463,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2021-11-14T02:11:00+00:00,,,54.372419,-1.714828,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2021-11-14T02:11:00+00:00,,,54.132848,-0.797322,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2021-11-14T03:11:00+00:00,,,54.132340,-0.798638,Female,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2021-11-14T03:11:00+00:00,,,54.132340,-0.798638,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2021-11-14T04:11:00+00:00,,,54.372419,-1.714828,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2021-11-15T11:11:00+00:00,,,53.922496,-1.168855,Male,over 34,,White,,,,,
Person search,2021-11-15T22:11:00+00:00,,,53.947518,-1.125619,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2021-11-15T22:11:00+00:00,,,53.947518,-1.125619,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person and Vehicle search,2021-11-15T23:11:00+00:00,,,53.958459,-2.032090,Male,18-24,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2021-11-16T14:11:00+00:00,,,53.961677,-1.084962,Female,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2021-11-16T17:11:00+00:00,,,,,Male,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2021-11-17T03:11:00+00:00,,,53.956332,-2.019912,Male,over 34,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2021-11-17T15:11:00+00:00,,,,,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person and Vehicle search,2021-11-18T01:11:00+00:00,,,53.944208,-2.012456,Male,25-34,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2021-11-18T04:11:00+00:00,,,54.243911,-0.400457,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2021-11-18T04:11:00+00:00,,,54.243911,-0.400457,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person and Vehicle search,2021-11-18T06:11:00+00:00,,,54.482519,-0.630029,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,
Person and Vehicle search,2021-11-18T06:11:00+00:00,,,54.482519,-0.630029,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2021-11-18T10:11:00+00:00,,,53.965204,-1.083102,Female,25-34,,,,,,,
Person search,2021-11-18T13:11:00+00:00,,,53.977882,-1.533889,Male,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2021-11-18T14:11:00+00:00,,,53.965204,-1.083102,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2021-11-18T19:11:00+00:00,,,54.268401,-0.417875,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2021-11-18T19:11:00+00:00,,,54.268401,-0.417875,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2021-11-20T08:11:00+00:00,,,53.961677,-1.084962,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
