Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e10a0e7d3a3b29e805fc313c51780e98fb43909446b224de8f66b788b0dd6802,2021-05,Gwent Police,Gwent Police,-2.998855,51.599349,On or near REDLAND STREET,W01001683,Newport 006D,Investigation complete; no suspect identified
5971897aca8d4da3a7a67d03c64a8da05ebdcd6dd85e67b7bcbae7675aa67ed9,2021-05,Gwent Police,Gwent Police,-2.990649,51.579214,On or near FRANCIS DRIVE,W01001662,Newport 018D,Investigation complete; no suspect identified
3a6212f2252a47f5a1f2fa74e38bf3681f3160f0f73c1235819c137b8667d21e,2021-05,Gwent Police,Gwent Police,-2.975933,51.588824,On or near OXFORD STREET,W01001612,Newport 011B,Investigation complete; no suspect identified
0a7cc6f63f6e0ebf05005cb1d384bfdb092c2d26a53e55576fd86a81d0213718,2021-05,Gwent Police,Gwent Police,-2.973003,51.602362,On or near BADMINTON ROAD,W01001678,Newport 005D,Investigation complete; no suspect identified
ad6154677cc3a8f4b963e4ba386ca1c4c22b9893eca0dc652d168be6bb3d5eba,2021-05,Gwent Police,Gwent Police,-3.228452,51.799158,On or near IVY CLOSE,W01001470,Blaenau Gwent 001D,Investigation complete; no suspect identified
afa3060172b2440717784100ed59e2f1ba50614b0e358c01e4055c99f94e28ba,2021-05,Gwent Police,Gwent Police,-3.050032,51.700408,On or near SCHOOL CLOSE,W01001541,Torfaen 004F,Investigation complete; no suspect identified
abf405ad6e7966f440d0d2e3ec05406e5a4d6ce50af1fbfc4ed7fe5e5b1ad19d,2021-05,Gwent Police,Gwent Police,-3.226186,51.694718,On or near MOUNT PLEASANT STREET,W01001326,Caerphilly 003B,Investigation complete; no suspect identified
e4fec181fac764170c7092be34776eaf4a20ebe4945c8a1a294ce334d9085059,2021-05,Gwent Police,Gwent Police,-2.987910,51.591295,On or near Petrol Station,W01001693,Newport 013E,Investigation complete; no suspect identified
cf4327f23f63c3f3537335a6c93c2bc381bae3602023855802725e1baf5295de,2021-05,Gwent Police,Gwent Police,-3.014642,51.823335,On or near Petrol Station,W01001580,Monmouthshire 002E,Investigation complete; no suspect identified
efb545e9f8d6a362821ce255c61de8bf18dc9e93bfafcb1147810c7b46866f4b,2021-05,Gwent Police,Gwent Police,-3.215371,51.781887,On or near MOOR VIEW,W01001458,Blaenau Gwent 004E,Investigation complete; no suspect identified
9743a7355ec60c3d05fd371da734583ebe23022b749fc719c11822f281ebd9c0,2021-05,Gwent Police,Gwent Police,-2.971164,51.616971,On or near FAIRFIELD CLOSE,W01001626,Newport 001D,Investigation complete; no suspect identified
30ecb4c45c688473098327d122400861ee953ea6ec1110217cc445e3c7a331fb,2021-05,Gwent Police,Gwent Police,-3.230326,51.760394,On or near VALE VIEW,W01001462,Blaenau Gwent 006A,Investigation complete; no suspect identified
